city,region,storage_time,time_since_cooking,storage_condition,container_type,food_type,moisture_type,cooking_method,texture,smell,freshness_level
Guwahati,NorthEast,2.6,3.67,refrigerated,closed,Vegetarian,dry,fried,dry,sour,Medium
Pune,South,2.4,3.59,outside,closed,Seafood,semi-wet,steamed,soft,slight,Medium
Hyderabad,South,11.7,2.89,outside,metal,Dairy,dry,steamed,dry,neutral,Spoiled
Nagpur,Central,18.4,3.05,outside,closed,Vegetarian,wet,steamed,soggy,strong,Spoiled
Ahmedabad,West,7.3,0.84,outside,metal,Non-Vegetarian,semi-wet,boiled,firm,sour,Spoiled
Chandigarh,North,23.1,0.02,outside,closed,Seafood,wet,baked,firm,sour,Spoiled
Goa,West,20.1,0.19,outside,open,Non-Vegetarian,dry,fried,firm,fermented,Spoiled
Madurai,South,2.7,0.09,refrigerated,metal,Seafood,wet,steamed,dry,neutral,Fresh
Lucknow,North,11.0,5.52,outside,closed,Non-Vegetarian,wet,boiled,dry,neutral,Spoiled
Goa,West,11.1,2.53,refrigerated,open,Seafood,dry,fried,crispy,slight,Fresh
Imphal,NorthEast,0.0,4.13,outside,metal,Non-Vegetarian,dry,boiled,crispy,fermented,Spoiled
Guwahati,East,5.0,5.4,refrigerated,closed,Non-Vegetarian,dry,fried,dry,slight,Fresh
Delhi,North,13.2,3.56,refrigerated,closed,Bakery,semi-wet,baked,dry,sour,Medium
Delhi,North,25.7,3.46,outside,closed,Vegetarian,dry,boiled,soft,sour,Spoiled
Pune,South,21.6,0.49,refrigerated,closed,Bakery,dry,boiled,soft,neutral,Fresh
Patna,East,21.9,2.04,outside,metal,Dairy,dry,boiled,crispy,sour,Spoiled
Chennai,South,1.8,0.21,refrigerated,open,Bakery,dry,fried,firm,neutral,Fresh
Guwahati,NorthEast,16.0,2.31,outside,metal,Bakery,semi-wet,boiled,dry,fermented,Spoiled
Hyderabad,South,12.0,0.84,refrigerated,metal,Dairy,dry,boiled,dry,fermented,Medium
Hyderabad,South,19.8,2.05,refrigerated,open,Bakery,wet,steamed,moist,fermented,Spoiled
Hyderabad,South,0.0,0.92,outside,open,Non-Vegetarian,semi-wet,fried,moist,strong,Medium
Imphal,NorthEast,17.9,1.77,refrigerated,closed,Dairy,dry,fried,dry,sour,Medium
Bhopal,Central,4.3,8.0,refrigerated,metal,Vegetarian,wet,fried,crispy,slight,Fresh
Raipur,Central,21.4,6.59,refrigerated,plastic,Non-Vegetarian,wet,steamed,soggy,neutral,Spoiled
Shillong,NorthEast,25.7,2.27,outside,closed,Non-Vegetarian,semi-wet,boiled,firm,sour,Spoiled
Chandigarh,North,4.9,4.88,refrigerated,metal,Bakery,semi-wet,boiled,crispy,neutral,Fresh
Delhi,North,16.9,1.85,refrigerated,open,Bakery,wet,baked,firm,strong,Medium
Nagpur,Central,4.4,7.36,outside,metal,Seafood,semi-wet,baked,dry,strong,Spoiled
